COGID	L1	L2	L3	L4	ND1	ND2	ND3	ND4	ND5	Description
COG0001	137.84	172.59	148.3	199.4	70.65	64.54	89.23	66.96	112.84	Aminotransferase
COG0002	290.67	313.63	291.41	369.87	268.25	277.75	261.12	293.42	286.58	Catalyzes the NADPH-dependent reduction of N-acetyl-5- glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde
COG0003	8.5	13.58	6.64	7.77	7.12	12.63	29.16	9.59	6.44	Pfam Anion-transporting ATPase
COG0004	206.24	140.07	179.16	139.47	205	256.4	196.35	248.79	235.15	Ammonium Transporter Family
COG0005	203.66	157.13	181.2	162.92	207.43	221.96	190.86	240.31	198.93	The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta- (deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate
COG0006	586.14	553.28	546.79	609.36	542.11	582.3	513.47	613.27	506.66	Creatinase/Prolidase N-terminal domain
COG0007	134.85	200.11	177.25	218.69	117.5	148.55	113.9	133.46	162.21	Belongs to the precorrin methyltransferase family
COG0008	671.52	746.98	690.14	857.31	666.02	649.89	659.63	682.57	650.4	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu)
COG0009	314.13	330.22	322.94	359.82	305.08	339.77	295.32	342.34	318.66	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine
COG0010	96.97	91.39	81.52	108.55	47.2	40.27	35.96	46.11	39.34	Belongs to the arginase family
COG0011	4.67	5.38	6.29	2.98	6.16	5.29	5.17	5.76	3.73	Thiamine-binding protein
COG0012	323.99	372.98	357.06	376.32	318.45	350.34	304.31	340.01	418.94	ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner
COG0013	373.16	415.4	402.11	434.73	362.23	410.09	361.44	404.31	366.29	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain
