vOTUs	LPd_1	LPd_2	LPd_3	LPd_4	Nd_1	Nd_2	Nd_3	Nd_4
LPd_1__1009	4526	78	18613	3892	53	3485	1	56
LPd_1__1011	602	76	886	67	2	171	197	164
LPd_1__1012	34	0	986	6	0	6	0	0
LPd_1__1017	1790	0	498	226	6	0	5	0
LPd_1__1048	950	0	3900	813	13	5	0	6
LPd_1__1052	40	1	27	4	34	110	0	0
LPd_1__1062	77038	68	199062	151702	11483	163	506	307
LPd_1__1081	1659	0	168	16	0	0	0	0
LPd_1__1091	15675	9	6894	2170	137	4	6	11
LPd_1__1104	73835	51769	29649	106761	76734	5187	18609	13576
LPd_1__1145	4870	412	1543	278	38	999	351	5225
LPd_1__1147	80	0	10	4	0	0	0	0
LPd_1__1149	176	1	352	52	59	2	0	0
LPd_1__1150	191	2	40	23	0	34	2	77
LPd_1__1151	698	68	64	54	0	534	19	58
LPd_1__1155	697	189	6165	866	150	8843	3405	121
LPd_1__1157	70	0	0	644	1	0	0	0
LPd_1__1159	189	0	100	85	11	0	0	0
LPd_1__1166	10408	9	17179	18008	54	12	0	310
LPd_1__1174	80	99	91	43	3	22	15	9
LPd_1__1179	73	0	13	0	0	0	0	0
LPd_1__118	4927	15	2881	1263	1	17	3	129
LPd_1__1186	62	17	12	23	0	24	0	72
LPd_1__1195	58	0	0	0	0	0	0	0
LPd_1__1198	2934	0	271	480	131	0	0	0
LPd_1__120	63	0	7	0	0	0	0	0
LPd_1__1208	1037	398	466	44	4	0	5	165
LPd_1__121	189	0	0	49	0	0	0	0
LPd_1__1219	33	7	518	52	2	41	0	10
LPd_1__1237	124	2	13	43	589	10	0	4643
LPd_1__1249	51	0	133	8	0	0	0	0
LPd_1__1257	157	1	14061	354	342	10	1	6
LPd_1__1263	195	62	1257	391	0	0	0	0
LPd_1__1264	24	0	22	5	0	0	0	1
LPd_1__1270	96	0	52	1	0	1	4	0
LPd_1__1285	46	0	2	0	0	63	0	0
LPd_1__1302	56	0	0	25	0	0	0	0
LPd_1__1308	310	2	47	2	0	4	10	2
LPd_1__1328	7398	662	6891	4681	3839	10620	349	2195
LPd_1__1330	195	0	0	0	0	0	0	0
LPd_1__1359	1669	25	30	1	0	98	12	0
LPd_1__137	224	65	37	2	0	0	1	43
LPd_1__1373	161	0	134	23	0	0	0	0
LPd_1__1374	119	3	24	48	4	22	0	55
LPd_1__1377	198	0	2	0	0	52	42	0
LPd_1__1398	330	60	62	19	0	0	4	0
LPd_1__1405	243	6	91	40	17	58	0	20
LPd_1__141	114	6	63	47	11	84	34	14
LPd_1__1431	91	0	12	0	0	0	0	0
LPd_1__1440	165	0	0	0	0	0	0	0
LPd_1__1450	442	297	15034	437	0	910	387	1541
LPd_1__1462	30	0	915	24	64	2	0	4
LPd_1__1466	90	47	29	13	4	55	32	100
LPd_1__1473	1761	6	28	2	0	8	2	10
LPd_1__1488	2399	7	105	0	20	33	38	136
LPd_1__1492	1050	90	134	91	4	333	12	143
LPd_1__1514	1079	1	1527	38	198	3342	18	42
LPd_1__1525	190	48	49	11	0	14	6	7
LPd_1__1540	65	0	6	0	0	0	0	0
LPd_1__1541	281	56	493	71	0	40	18	24
LPd_1__1547	126	0	0	57	0	17	0	2
LPd_1__1562	6783	1	6527	1441	292	0	0	0
LPd_1__1565	41	52	8	8	0	87	0	26
LPd_1__1567	67	8	0	0	0	0	0	23
LPd_1__1570	39944	80	158095	36921	175	1407	36	56
LPd_1__1574	93	0	0	0	0	6	12	0
LPd_1__1600	751	3	43	4	1	891	6	121
LPd_1__1601	1322	90	263	4979	3	101	2	869
LPd_1__1617	1803	139	137	130	0	351	11	263
LPd_1__1627	102	0	0	0	0	0	0	0
LPd_1__1633	296	0	26	0	2	1	1	2
LPd_1__1639	1212	86	4476	64	3	109	6	135
LPd_1__164	411	13	23	46	0	25	0	0
LPd_1__1660	53	0	20	0	2	0	0	0
LPd_1__1663	5018	13	4488	303	3	368	6	96
LPd_1__1672	2361	12	3271	1719	72	30	0	86
LPd_1__1673	3709	10	22165	5578	674	17	160	106
LPd_1__1677	56	2	35	4	0	14	0	3
LPd_1__1689	25	10	6	12	0	48	2	8
LPd_1__1693	1052	61	2106	575	25	472	82	120
LPd_1__1695	598	6	40	34	0	1	0	0
LPd_1__1697	102	0	38	56	0	0	0	0
LPd_1__1713	311	0	16	820	0	3	0	77
LPd_1__172	62	0	0	0	0	6	16	0
LPd_1__1739	72	0	66	4	8	0	10	6
LPd_1__1751	28	0	1098	36	0	2	0	0
LPd_1__1752	686	158	28	0	0	15	1	258
LPd_1__1757	1709	0	3107	201	3	0	0	0
LPd_1__1763	156	2	7	2	8	0	0	2
LPd_1__1766	78	0	9	0	0	0	0	1
LPd_1__1788	265	35	64	114	1	49	7	33
LPd_1__1794	33	6	452	20	42	2	0	0
LPd_1__1797	162	0	0	0	0	0	0	0
LPd_1__1804	54	4	41	35	34	75	130	2
LPd_1__1824	1089	139	568	727	7	58	1	29
LPd_1__1829	81	22	0	0	2	6	0	2
LPd_1__1831	218	3	12	13	0	1	0	11
LPd_1__1841	94	3	81	58	0	73	0	79
LPd_1__1842	22706	30	62996	7228	2807	7	13	20
LPd_1__1854	897	68	728	511	17	140	0	2
LPd_1__1857	123	2	15	6	0	0	0	2
LPd_1__1858	88	10	46	6	1	14	14	13
LPd_1__1860	1725	0	1175	165	1	253	2	3
LPd_1__1865	40562	252	996	172	25	1261	183	2054
LPd_1__1866	130	6	45	189	6	156	0	1
LPd_1__1875	39	0	93	48	2	0	0	0
LPd_1__1879	33	17	12	2	7	2	0	2
LPd_1__1888	73	59	117	43	7	425	4	46
LPd_1__1906	102	0	24	4	0	0	0	0
LPd_1__1913	287	37	70	11	0	99	2	51
LPd_1__1915	801	0	9613	225	6	0	0	0
LPd_1__192	929	94	131	30	5	101	6	35
LPd_1__1920	136	0	0	0	0	78	2	0
LPd_1__1929	195	730	987	8009	0	1011	883	392
LPd_1__1943	276	0	0	2	0	0	0	0
LPd_1__1947	30587	63	548	14	0	95	0	16
LPd_1__1950	4365	8	9844	284	2	0	12	0
LPd_1__1954	218	0	399	0	0	0	0	0
LPd_1__1957	810	17	118	20	0	389	36	102
LPd_1__1959	2439	12	81	6	12	57	2431	93
LPd_1__1961	131	0	10	0	0	0	0	0
LPd_1__1963	1538	7	2170	3026	7	0	0	0
LPd_1__1965	163	0	0	0	0	0	0	0
LPd_1__1974	13176	34265	1273162	40180	1283	7106	42750	340379
LPd_1__1980	7829	0	1327	1	4	16	0	47
LPd_1__2016	102	7	32	4	0	17	3	0
LPd_1__2019	184	3	23	0	0	5	0	6
LPd_1__2021	230	24	65	0	0	0	56	831
LPd_1__2024	181	11	53	96	0	24	6	64
LPd_1__2032	20540	23	34895	32263	340	52	0	135
LPd_1__2042	338	0	27	5	0	53	0	0
LPd_1__2056	73	0	497	9	0	0	0	0
LPd_1__2063	604	0	317	329	1	0	0	5
LPd_1__2065	5891	44	250	61	0	107	118	151
LPd_1__2067	214046	9408	133051	108108	33675	58055	12616	31847
LPd_1__2068	121	80	0	58	0	24	215	3
LPd_1__2083	86	7	10	10	0	20	0	0
LPd_1__2089	10161	2	16566	33182	424	2	1	24
LPd_1__2091	281	24	459	86	35	182	2	814
LPd_1__2093	74	9	16	21	0	0	0	12
LPd_1__2101	130	0	0	0	0	0	0	0
