ID	ND	FL
COE1	18.58879	16.81131
Lepagella	7.290008	5.101694
UBA3282	5.440043	5.677619
Acetatifactor	2.747006	6.591395
Duncaniella	4.72972	2.206087
CAG-873	2.474202	2.157837
Suilimivivens	2.638576	1.938192
Kineothrix	2.019462	2.524688
Petralouisia	1.822528	2.399049
Lawsonibacter	2.499935	1.424995
UBA3402	1.696344	1.995015
Brotaphodocola	1.874016	1.766696
UBA7173	2.061805	1.33535
Muribaculum	2.288605	1.045719
Schaedlerella	1.863352	1.428904
Oscillibacter	1.99456	1.222944
Hominiventricola	1.43908	1.753209
Prevotella	1.622591	1.537687
Paramuribaculum	1.871371	1.276992
Alistipes	1.553361	1.589947
Sporofaciens	1.165189	1.606749
Eubacterium_J	1.400473	1.223003
Helicobacter_D	0.7342096	1.772684
Enterenecus	1.446486	0.8096115
Laedolimicola	0.9851175	1.241625
Alloprevotella	1.207455	0.9893907
Caccovicinus	0.7608672	1.351692
Bacteroides	0.8399384	0.9671668
Acutalibacter	0.8618883	0.9161011
CAG-303	0.6548189	1.104366
Desulfovibrio	0.4834418	1.059929
UBA2882	0.04843846	1.487915
1XD8-76	0.5206329	1.011992
Butyribacter	0.8370593	0.6332553
Eubacterium_F	0.7216107	0.7226276
MD308	0.5093422	0.7249078
Pelethomonas	0.7033182	0.4652051
VSOB01	0.3994482	0.6549157
Roseburia_B	0.4878473	0.5460031
Parabacteroides	0.5698806	0.4637403
QXXE01	0.6379334	0.3930226
Otoolea	0.4984673	0.4664257
Faecalibaculum	0.6133535	0.2905377
Anaerotruncus	0.349336	0.4688739
UBA3263	0.4615859	0.3193171
Coproplasma	0.3319318	0.4357356
RGIG4057	0.3829564	0.3814816
Ligilactobacillus	0.3862746	0.3628906
Phocaeicola	0.4616502	0.2816829
Eubacterium_R	0.2537111	0.4337105
MGBC164599	0.2738226	0.361805
Nanosyncoccus	0.195054	0.4343396
W0P33-017	0.265604	0.3407135
CAG-115	0.2625267	0.2986008
Avidehalobacter	0.3043612	0.2461799
Vermiculatibacterium	0.3748336	0.1459677
Ruminococcus	0.1502187	0.3608309
UBA7109	0.2214131	0.2281861
Lactobacillus	0.184973	0.2499951
Roseburia	0.1926656	0.2384934
Cryptobacteroides	0.2134011	0.1791682
CANAAV01	0.2105856	0.1613303
Coprocola	0.1207561	0.2375211
Claveliimonas	0.1718225	0.1683935
Variovorax	0.1742999	0.1635328
14-2	0.1631925	0.1695673
QZDW01	0.1515979	0.1648845
Hominisplanchenecus_A	0.1823017	0.1296265
Taurinivorans	0.1005973	0.21019
Lachnospira	0.1927476	0.1177099
JAGBWK01	0.1816122	0.1235835
Paralachnospira_A	0.104478	0.1942311
Blautia_A	0.1375003	0.153959
Odoribacter	0.1617232	0.126236
Lientehia	0.1008266	0.1831986
Zag111	0.1208073	0.1498063
Bifidobacterium	0.01367941	0.2534468
RGIG4284	0.07976518	0.174941
Anaerocaecibacter	0.05556421	0.1633083
Scatovivens	0.006054649	0.2109134
Enterocloster	0.09120516	0.1170949
Sediminibacterium	0.07733413	0.1263763
C-19	0.06991971	0.1336441
Hominibacterium	0.08070566	0.1076998
UMGS1370	0.06913674	0.1037723
Dorea_D	0.06946682	0.1022763
Gallimonas	0.04783122	0.1215692
Angelakisella	0.09788887	0.06324017
Mailhella	0.07236379	0.07696903
Limosilactobacillus	0.0602658	0.08214276
CAG-269	0.03409239	0.1052471
Ruminiclostridium_E	0.05040888	0.08486154
Alistipes_A	0.06757134	0.06690809
CAG-510	0.05832274	0.07307343
Rikenella	0.05958148	0.07110706
Eisenbergiella	0.05840717	0.06983218
Anaerotignum_A	0.06711841	0.06077533
MGBC136627	0.05946155	0.06815005
Choladousia	0.05996048	0.06713337
CANQGL01	0.06476656	0.06126713
MGBC122484	0.03044202	0.09101485
CAG-590	0.05627705	0.06307208
UBA11957	0.0706335	0.04508855
CANRXD01	0.05455262	0.06039485
Afipia	0.05170233	0.05768643
Faecousia	0.05429531	0.05020863
Avispirillum	0.04444925	0.05654271
Pseudoflavonifractor_A	0.05762652	0.04289658
C-53	0.05140253	0.04764432
Blautia	0.05340653	0.04562138
Avoscillospira_A	0.0681661	0.03000485
RGIG8607	0.04705613	0.0484627
CATJSX01	0.03386547	0.06043784
UBA1405	0.0395154	0.05309644
Eubacterium_G	0.03731445	0.05362457
MGBC114079	0.03547425	0.05373987
RGIG3002	0.04018875	0.04877113
Evtepia	0.04537889	0.04223174
Roseburia_C	0.03831202	0.04921792
RGIG3040	0.03712219	0.04956456
Fimimonas	0.01542893	0.06958113
Agathobacter	0.0334624	0.04844093
MGBC163016	0.04086012	0.04093066
Pumilibacter	0.02966269	0.05036051
Lachnoclostridium_A	0.03909319	0.03936119
Gallintestinimicrobium	0.03935975	0.03803975
Turicimonas	0.03447638	0.04265629
JAFLTL01	0.02930946	0.04708162
CAG-557	0.04094678	0.03369351
HGM13010	0.02633953	0.04800249
Butyricimonas	0.04672487	0.02750805
Butyricicoccus	0.04357799	0.02994196
JAAVFS01	0.04017347	0.03252263
RGIG7193	0.02879213	0.04290461
Pseudobutyricicoccus	0.04313886	0.0245759
MGBC131033	0.05034449	0.0171692
Adlercreutzia	0.03223776	0.02876665
RACS-045	0.02489917	0.03517221
Hominimerdicola	0.02395296	0.03594213
MGBC161649	0.0001303669	0.05870714
RUG626	0.03077342	0.02747973
An181	0.02156592	0.03666457
CAG-267	0.0327613	0.02493417
UMGS1071	0.02744365	0.03007397
MGBC114844	0.02233939	0.03207389
Lacrimispora	0.02692071	0.02495325
Ruminococcoides	0.02485903	0.02690579
Muricoprocola	0.03178132	0.01839868
JAAWCD01	0.03171783	0.01783979
Paraprevotella	0.02709959	0.02216223
Faecalibacterium	0.02171405	0.0274618
Bradyrhizobium	0.01894269	0.02919584
CAG-1031	0.02499433	0.02301869
Paludihabitans	0.02040972	0.02681554
Wujia	0.01815259	0.02879392
Amulumruptor	0.02508164	0.02122644
Emergencia	0.0161726	0.02816922
HGM12998	0.02298879	0.02073112
Tidjanibacter	0.01143461	0.03182313
Metaruminococcus_A	0.02663738	0.01654493
SIG307	0.0154813	0.02769182
Bilophila	0.0145632	0.02852332
Velocimicrobium	0.01934951	0.02351305
Bariatricus	0.02146358	0.02127842
Hominilimicola	0.01077624	0.03183611
CASDZP01	0.02182151	0.02042243
JAMPGF01	0.02966725	0.01244912
Sutterella	0.02431762	0.01712871
Dorea_A	0.01813424	0.02330102
Mediterraneibacter	0.01763567	0.0237413
Clostridium_AP	0.01744946	0.02317484
Faecivivens	0.02916153	0.01133878
Ruthenibacterium	0.0135675	0.02674979
Fimisoma	0.01662566	0.02351295
UBA3855	0.02223754	0.01690536
Coprococcus_A	0.02435399	0.01459452
Butyrivibrio	0.01815675	0.0203018
CAG-411	0.0198714	0.01852533
Phocaeicola_A	0.02160477	0.016423
Ileibacterium	0.003659121	0.03436792
Anaerostipes	0.01671481	0.02047053
CAJFPI01	0.021207	0.01562552
Treponema_D	0.01301535	0.02357068
Flavonifractor	0.0190475	0.01666641
Eubacterium_I	0.01478367	0.02076249
Harryflintia	0.02038523	0.01415462
Fimiplasma	0.006013653	0.0284864
JAAVYD01	0.01580102	0.01859851
Faeciplasma	0.01835821	0.01566976
Limisoma	0.01830191	0.01571481
Barnesiella	0.01718283	0.01655622
Bovifimicola	0.01522312	0.01831374
Faecalimonas	0.01357625	0.01982238
Anaerotignum	0.01748875	0.01554213
Agathobaculum	0.0175402	0.01460384
Corynebacterium	0.001609194	0.03043755
Helicobacter_C	0.009114101	0.02272644
MGBC120929	0.01334592	0.01836654
Merdinaster	0.009624274	0.02178255
CAG-273	0.01348214	0.01750727
RGIG1681	0.006195045	0.0247491
MGBC100174	0.01765478	0.01297157
RUG11867	0.0009816488	0.02940144
Caccenecus	0.007959676	0.02174861
SIG299	0.01128059	0.01841741
Fimimorpha	0.01732982	0.01151052
CANRLS01	0.01450253	0.01427088
Limimorpha	0.01743052	0.01082627
Vescimonas	0.01570163	0.01232596
Collinsella	0.01253951	0.0153352
CAKPSH01	0.01468367	0.01298773
Oliverpabstia	0.0141875	0.0134526
Anaerosacchariphilus	0.01619582	0.01116065
RGIG8773	0.01099668	0.01623392
Novisyntrophococcus	0.0167225	0.01046596
Mucispirillum	0.01480274	0.01237477
Porcipelethomonas	0.01062411	0.01647943
Coprococcus	0.01340819	0.01360471
MGBC165282	0.01053088	0.01635452
Sodaliphilus	0.01618304	0.01070213
CAJJNI01	0.01542041	0.01127738
RGIG8482	0.009945903	0.01673441
JAJPXC01	0.01473855	0.01158101
UBA7185	0.008519954	0.01776137
Hominicoprocola	0.01420987	0.01171609
CAJUPY01	0.01474314	0.01103441
Limivicinus	0.01323576	0.01231824
CAMWFH01	0.015571	0.009857041
Sulfoacidibacillus	0.01228797	0.01262202
JALFVM01	0.007616933	0.01712885
Fimousia	0.01089607	0.01355725
Ventrousia	0.01311136	0.01121187
Mobilitalea	0.01183654	0.01245362
Catonella	0.01065196	0.01327884
JAAWPK01	0.005390873	0.01827976
CAJOIG01	0.01159019	0.01147201
Lactonifactor	0.009495583	0.01348373
MGBC140009	0.01045601	0.01250211
Pararoseburia	0.01156624	0.01124541
Pelethenecus	0.01079545	0.01197921
Anaerocolumna	0.01045248	0.01202545
Jeotgalicoccus	0.005204542	0.01702373
NK4A136	0.009029335	0.01308065
JAAVYW01	0.0171511	0.004924996
Pseudoscillospira	0.01309276	0.00883073
Physcousia	0.01048923	0.01124338
Porphyromonas	0.01118447	0.01053471
CAOJUB01	0.0002548188	0.0211603
Extibacter	0.009667059	0.0116914
Caccovivens	0.004832222	0.01621596
Mammaliicoccus	0.0005725241	0.02033671
Mycobacterium	0.01068459	0.01017893
RUG11237	0.01009834	0.01074864
Limivivens	0.01006838	0.01061463
MGBC124762	0.01355436	0.007123294
Gemmiger	0.01050571	0.01013655
QAKD01	0.002785604	0.01759868
UMGS1601	0.009919047	0.01044604
UBA3818	0.007806451	0.01239744
CALYAK01	0.001268699	0.01868828
Catenibacillus	0.009110312	0.01064746
D16-63	0.009061577	0.01058925
Marvinbryantia	0.009913761	0.009721414
Negativibacillus	0.005959884	0.01352216
CAG-964	0.01012554	0.009333099
UMGS1994	0.01107316	0.008329859
Dysgonomonas	0.01129333	0.007939741
Enterousia	0.01357144	0.005591228
Culturomica	0.009078677	0.01005762
Luoshenia	0.009063874	0.00997337
Massiliimalia	0.009434214	0.009497371
UBA11524	0.007602063	0.01127366
HGM12814	0.01157415	0.007161815
Noviherbaspirillum	0.004990266	0.01353149
TWA4	0.005185318	0.01333412
RGIG446	0.008779272	0.009558552
Pseudogracilibacillus	0.0001448524	0.01818641
Clostridium	0.006289676	0.0119275
Streptococcus	0.008832397	0.009137033
UBA5026	0.004880946	0.01276018
Allobaculum	0.009819568	0.007731041
Colicola	0.01030884	0.007162633
Dubosiella	0.01088117	0.006556324
MGBC157735	0.003997967	0.01329579
Oribacterium	0.006454163	0.01060803
Lachnoanaerobaculum	0.01100741	0.005912218
Butyrivibrio_A	0.006032219	0.01088399
JAAVZI01	0.004200857	0.0126382
CAG-475	0.008656537	0.008033497
Christensenella	0.007588296	0.009067026
HGM05190	0.01001516	0.006611866
Atopostipes	0.002363375	0.01409487
Pseudobutyrivibrio	0.007612449	0.008330552
F23-B02	0.008254328	0.007554762
Ruminococcus_C	0.007257202	0.008524588
CAG-632	0.006651085	0.008787203
Eubacterium_Q	0.006676274	0.008694639
Merdicola	0.00201869	0.01318346
Ruminiclostridium	0.007505693	0.007392811
Colinaster	0.006783835	0.007913705
Intestinimonas	0.007950883	0.006667194
MGBC120314	0.005781776	0.008810154
Sellimonas	0.007755415	0.006747592
Sporobacter	0.009142198	0.005345395
CATJXY01	0.0008098306	0.01352515
Pilosibacter	0.005210738	0.008869683
JAAVYR01	0.003600306	0.01046969
SKYB61	0.007397631	0.006671385
CAG-793	0.0003834875	0.01360063
V9D3004	0.007217759	0.00673281
Neoanaerotignum_A	0.00539019	0.008450332
MGBC102946	0.007352525	0.006482096
Enterorhabdus	0.008287856	0.005476062
Anaerobutyricum	0.004929821	0.008812408
Pseudoflavonifractor	0.007941019	0.005753613
Longicatena	0.007303622	0.006300633
Avimuribaculum	0.006360041	0.006854289
RGIG7179	0.003100952	0.009828054
Lachnoclostridium	0.006076495	0.006760094
Egerieousia	0.007272961	0.005439491
Hungatella	0.004993576	0.007669111
RGIG4079	0.007363902	0.005047894
Ruoffia	6.533111e-06	0.01237527
Adlercreutzia_A	0.005805759	0.006516152
UBA6382	0.006524866	0.005724607
Jutongia	0.005407062	0.006721903
Butyricicoccus_A	0.004314898	0.007742428
RGIG1828	0.006529906	0.005504763
UMGS1663	0.003405586	0.008615453
M3	0.007011002	0.004886021
CAG-791	0.004782144	0.007026052
Mediterraneibacter_A	0.004272774	0.007446288
RUG131	0.007014458	0.004703463
HGM04593	0.005945819	0.00566324
Frisingicoccus	0.005458852	0.006125438
NHYN01	0.004043965	0.00733105
Merdiplasma	0.005227961	0.006118609
Anaeromassilibacillus	0.005039135	0.006152727
MGBC108787	0.001736087	0.00944487
UBA737	0.005739154	0.005348594
UBA5536	0.007790419	0.003209396
Anaerosporobacter	0.004972927	0.005965809
UBA1213	0.003840147	0.007036718
UBA2868	0.003992093	0.006863239
UBA1181	0.003807667	0.007008705
Clostridium_AI	0.004848205	0.005774771
Fimenecus	0.005011357	0.005606103
HGM12587	0.005375978	0.005235405
Scatocola	0.008114426	0.002492956
UBA4427	0.00667091	0.003892378
Onthomonas	0.004477092	0.005968981
UMGS263	0.007635836	0.002724798
Clostridium_AQ	0.004080873	0.006274724
Stercorousia	0.003329384	0.006937806
Moryella	0.005378596	0.004749604
Eubacterium	0.004586344	0.005486476
Onthocola_B	0.000769986	0.009089691
CAG-170	0.005043274	0.004778114
Chordicoccus	0.004525567	0.005236206
Tepidibacillus	0.004763767	0.004979303
Woodwardiibium	0.004913799	0.004799383
Scatousia	0.003649361	0.00599233
Avimicrobium	0.003284019	0.006332472
Lentihominibacter	0.004635916	0.00491719
Bilifractor	0.00399592	0.005513285
MGBC162267	0.001374758	0.008121221
Limiplasma	0.004862948	0.004621827
Paenibacillus	0.004027395	0.005438274
Robinsoniella	0.0050128	0.004383147
UBA935	0.004373063	0.004990302
UBA7177	0.004662403	0.004563542
Pullibacteroides	0.005738041	0.003454994
HGM10857	0.00324282	0.005882773
HK-STAS-PATE-42	0.005062137	0.004006916
Qingrenia	0.005032101	0.004007803
UBA2821	0.00416856	0.004844373
CAJTFG01	0.002551816	0.006365037
Diplocloster	0.003971926	0.004921918
Heteroclostridium	0.002664657	0.006217735
UBA6857	0.001367267	0.007495842
UBA9414	0.002153071	0.006709023
Minthosoma	0.004447813	0.004363616
Johnsonella	0.004625494	0.004160198
Eubacterium_B	0.005957886	0.002789457
Ventricola	0.004585675	0.004120571
Anaerococcus	0.005964678	0.002739271
MGBC143606	0.004256496	0.00444632
JAVBNY01	0.004721116	0.003882593
Heritagella	0.004610127	0.003891416
JAAWJJ01	0.003289024	0.005188117
Arthrobacter	0.003376402	0.005045634
JN-9	0.005597346	0.002805972
Limenecus	0.004614136	0.003732628
CAJMNU01	0.003585455	0.004729745
Scatosoma	0.004096822	0.004216819
JAISKG01	0.003772204	0.004510609
Ventrenecus	0.002194848	0.005996322
Bulleidia	0.003207051	0.004963214
Faecalicatena	0.003641243	0.004442984
RGIG6307	0.002435144	0.005629109
Fusicatenibacter	0.004274462	0.003699551
CAG-177	0.00407428	0.00385233
Youxingia	0.003875087	0.004015295
RUG762	0.004091127	0.003753123
Salipaludibacillus	0.004707134	0.003115693
MGBC162888	0.002075152	0.005686144
Phil12	0.00310257	0.004613042
JAVVVP01	0.004887364	0.002820727
RUG306	0.004258656	0.003423684
Caccoplasma	0.003933597	0.003671294
Scatomonas	0.003235616	0.004367166
OLB16	0.003891909	0.003707361
Massilioclostridium	0.003426083	0.004166842
Fimivivens	0.003741039	0.003825221
RGIG1668	0.00389112	0.003653434
UBA2834	0.002344038	0.005042992
Mariniphaga	0.003398952	0.003961083
Akkermansia	0.003088022	0.004271518
Methylovirgula	0.002947061	0.004399494
Sphingobacterium	0.003924652	0.003406284
CAKTAA01	0.00506252	0.002214601
IOR16	0.003021644	0.004242235
Huintestinicola	0.003115017	0.004079524
Campylobacter_D	0.00181545	0.005349548
CAKUEI01	0.003489011	0.003657264
UMGS363	0.002583497	0.00452176
Anthropogastromicrobium	0.00353664	0.003533575
Sporosarcina	0.003378587	0.003676972
Spiroplasma_A	0.004414478	0.002553432
NC2004	0.00227798	0.004654159
Murimonas	0.003970906	0.002905941
Veillonella	0.004039407	0.002835774
SIG332	0.002657101	0.004185894
Thomasclavelia	0.003284643	0.003557229
UBA2912	0.003417843	0.003420327
Avigastranaerophilus	0.002878543	0.003947127
Malacoplasma_A	0.003095792	0.003728423
Aristaeella	0.002553428	0.004224959
Ruminococcus_B	0.003148282	0.003598168
CAVDHB01	0.004044732	0.00266135
Longibaculum	0.002354256	0.004335409
UBA2730	0.002191972	0.004324227
Saccharofermentans	0.002320755	0.004149415
Chakrabartyella	0.002492776	0.003958289
