ID	ND	FL
Bacillota	68.61383	74.43949
Bacteroidota	28.83338	20.56577
Campylobacterota	0.7542682	1.817057
Desulfobacterota_I	0.6782533	1.391
Pseudomonadota	0.4255621	0.4327847
Patescibacteriota	0.2157876	0.4593553
Actinomycetota	0.1783702	0.4614984
Cyanobacteriota	0.1773601	0.2846708
Spirochaetota	0.03355483	0.04273392
Chrysiogenota	0.01508546	0.01359658
Verrucomicrobiota	0.007690914	0.0115836
Desulfobacterota	0.005755636	0.009308737
Chloroflexota	0.005688924	0.008167262
Planctomycetota	0.005863997	0.00773505
Synergistota	0.005283956	0.007763333
Bacteroidota_A	0.004134476	0.00729643
Myxococcota_A	0.006866348	0.004282811
Acidobacteriota	0.006028787	0.003919247
Myxococcota	0.003374224	0.005363187
Hinthialibacterota	0.003896487	0.003714586
Fusobacteriota	0.003825046	0.002880815
Fibrobacterota	0.00316713	0.003427582
Elusimicrobiota	0.001909366	0.0009070956
Hydrogenedentota	0.0006988453	0.00201713
Desulfobacterota_B	0.0003908532	0.002074393
Thermotogota	0.001194717	0.0007217436
UBP6	0.001118397	0.0007837606
Omnitrophota	0.001016307	0.0007301239
Chlamydiota	0.0006272882	0.0008110043
Methylomirabilota	0.000161935	0.00127556
Bdellovibrionota	0.0006793048	0.0006400066
Vulcanimicrobiota	0.0003311154	0.0005010105
Gemmatimonadota	0.0004700457	0.0003213979
Desulfobacterota_G	0.0002364918	0.0005151953
Nitrospirota	0.0002481443	0.000441738
Deinococcota	0.0002837654	0.0004015287
WOR-3	0.000385656	0.000278982
Poribacteria	0.0001786585	0.0004377749
Armatimonadota	0.0003195355	0.0002637719
Cloacimonadota	0.0003078258	0.0002738724
Muiribacteriota	0.0003036551	0.000270858
Atribacterota	0.000201519	0.0003473313
JAUYMQ01	0.0002018654	0.0003004467
Fermentibacterota	0.0003038781	9.417377e-05
Aquificota	0.0001348932	0.0002426899
SAR324	0.0002125507	0.0001382659
Sysuimicrobiota	7.694472e-05	0.0002331648
SZUA-79	9.174044e-05	0.0001335313
Lernaellota	6.081133e-05	0.0001574489
Marinisomatota	5.30723e-05	0.0001650717
Bdellovibrionota_B	0.0001047629	0.0001122019
Margulisbacteria	7.897112e-05	0.0001236248
CSSED10-310	4.019712e-05	0.0001003868
UBA9089	5.676668e-05	6.185109e-05
Desulfobacterota_E	7.850352e-05	3.649946e-05
JAKLEM01	5.163095e-05	4.856331e-05
Aerophobota	3.207946e-05	6.18848e-05
JAAXVQ01	2.411696e-05	5.85416e-05
Zhuqueibacterota	2.652742e-05	5.451158e-05
BMS3Abin14	1.305715e-05	6.496455e-05
UBA10199	1.482112e-05	5.424319e-05
Caldisericota	2.005606e-05	4.455082e-05
RBG-13-61-14	4.68403e-05	1.535479e-05
Electryoneota	2.259688e-05	2.48046e-05
UBP4	1.023823e-05	3.224747e-05
Sumerlaeota	1.134541e-05	2.918897e-05
Goldbacteria	1.609207e-05	1.717395e-05
Bdellovibrionota_G	2.118832e-05	1.141324e-05
Ratteibacteria	2.398728e-05	8.161589e-06
Latescibacterota	4.800951e-06	2.718893e-05
Calditrichota	1.178605e-05	1.887776e-05
Desulfobacterota_D	1.970171e-06	2.109657e-05
TA06_A	2.076275e-05	2.214945e-07
Zixibacteria	2.620043e-06	1.534999e-05
Babelota	1.305691e-06	1.608468e-05
Moduliflexota	0	1.623686e-05
CAIJMQ01	1.220699e-05	1.973471e-06
Edwardsbacteria	0	1.208306e-05
Nitrospinota	2.610401e-06	7.678572e-06
JAUXIQ01	4.79089e-06	5.25497e-06
Bipolaricaulota	3.044161e-06	5.036804e-06
UBA4055	2.188726e-07	6.781324e-06
SM23-31	0	6.790609e-06
DRYD01	6.319965e-06	0
UBP15	6.297627e-06	0
UBA3054	0	3.077518e-06
Eisenbacteria	2.627743e-06	0
JABMQX01	0	1.971893e-06
UBP18	1.094363e-06	4.410925e-07
