		ND	ND	ND	ND	ND	ND	ND	ND	FL	FL	FL	FL	FL	FL	FL	FL	ND+ND	ND+ND	ND+ND	ND+ND	ND+ND	ND+ND	ND+ND	ND+ND
0		10.22	10.51	9.84	10.6	9.88	10.05			9.3	10.48	10.47	10.86	10.62	10.47			9.75	10.1	9.83	10.68	10.81	10.49		
3		12.72817	11.22186	12.53242	13.15483	12.01895	12.63916			11.38393	13.08899	13.10517	13.76714	14.1246	13.03534			13.25275	12.71665	12.51433	13.70791	13.52012	12.89163		
6		14.59108	12.74461	13.56727	16.4399	14.6911	14.56222			12.61404	14.68433	14.4177	15.76514	15.67778	14.36097			14.97248	14.07115	14.07063	14.14855	17.37704	15.11824		
9		17.34902	15.05363	16.11316	17.76265	15.66919	17.40922			14.34659	16.0329	16.4067	16.39943	16.0362	15.5798			15.96422	15.18964	14.95844	17.49335	18.56224	15.96981		
12		18.31691	16.01903	17.07473	18.86044	16.753	16.79071			14.80572	16.48242	17.46683	17.49885	17.67168	16.79398			17.96881	16.32866	17.25632	17.74202	19.78219	17.09389		
15		19.64904	17.73089	17.844	18.93243	17.25526	18.40835			15.49008	16.9672	17.98174	17.7823	17.50363	15.7906			19.62522	17.79603	18.18592	18.6101	19.67545	18.21362		
18		19.28478	17.93989	18.80558	20.48013	18.34789	18.77605			15.5074	17.40791	18.55724	18.57714	18.3195	16.81583			20.37432	18.26805	18.92751	20.20831	21.29762	18.68743		
21		20.07574	18.9053	19.758	20.87606	18.61224	19.7835			16.42565	18.21881	19.02168	18.87104	18.69545	18.30348			20.42854	19.32498	19.56109	20.63213	21.74973	19.66459		
24		20.71059	19.65175	20.44484	21.66792	19.44053	19.40748			17.43053	18.35983	19.68804	18.93657	19.21787	19.26053			20.87018	20.25876	20.70313	21.8805	22.36154	19.96548		
27		21.50155	20.44797	20.96316	22.07674	20.69177	20.22398			17.53449	18.78291	20.19286	19.27734	19.56719	19.60492			21.13394	20.84646	21.07915	21.40932	23.25304	21.68442		
30		21.87622	21.493	21.23242	22.91562	21.2557	21.17933			17.54315	19.88868	21.64721	20.78674	20.81692	19.90036			20.95459	21.4142	20.54647	22.6688	24.01032	21.75431		
