ID	LPD	FN
Akkermansia	12.40147	26.35053
CAG-485	4.244325	8.272936
Kineothrix	4.754917	6.542737
Acetatifactor	6.288185	2.92286
UBA3282	5.311754	3.553885
CAG-873	7.51676	1.0926
COE1	3.013664	5.018248
CAG-95	6.21198	1.744931
Paramuribaculum	1.698211	3.72222
Faecalibaculum	2.030175	3.143031
Lawsonibacter	2.809214	1.330695
14-2	2.121266	1.666727
Acutalibacter	1.684869	1.856446
Enterenecus	2.241925	0.8066646
Duncaniella	1.318776	1.440102
Bacteroides	0.598287	2.145349
UBA3402	1.779419	0.7406916
Helicobacter_C	0.4853825	1.771348
Pelethomonas	1.46615	0.6595501
Nanosyncoccus	0.5508543	1.528014
Merdisoma	1.192226	0.8538287
Dysosmobacter	1.227646	0.5604056
Alistipes	0.7484898	1.012996
Sporofaciens	0.9048017	0.7622174
Ventrimonas	0.8979364	0.7576051
1XD42-69	1.278619	0.3155689
Eubacterium_J	0.8967702	0.58738
UBA7185	1.299603	0.1619844
Choladocola	0.7520651	0.6978746
Eubacterium_F	0.8894442	0.392291
UBA7173	0.6891246	0.4441233
Schaedlerella	0.6039164	0.3533308
Anaerotruncus	0.4825796	0.440812
Roseburia	0.5146052	0.3865752
Caccovicinus	0.5722985	0.3236857
Muribaculum	0.4046425	0.4334137
Cryptobacteroides	0.2706308	0.5339281
Lactobacillus	0.5883515	0.19546
Paralachnospira	0.5430287	0.2263226
Avidehalobacter	0.4490751	0.311464
Clostridium_Q	0.4196213	0.2881323
1XD8-76	0.4023077	0.2787174
Marseille-P3106	0.4378999	0.2379097
UMGS1370	0.5000471	0.1576913
NM07-P-09	0.0972221	0.5036102
An181	0.1957801	0.3934318
QXXE01	0.313415	0.2417127
MGBC165282	0.5131384	0.03281724
Mailhella	0.03459004	0.5076514
MD308	0.2217316	0.3107342
Copromonas	0.2959014	0.2291533
Bifidobacterium	0.08774876	0.4266935
Butyribacter	0.2869183	0.1750286
Evtepia	0.2114421	0.2331266
Phocaeicola	0.1639888	0.2794348
RGIG4284	0.2300548	0.1996077
Paralachnospira_A	0.2043956	0.1959921
Eisenbergiella	0.1758171	0.2244827
V9D3004	0.3242583	0.03089327
VSOB01	0.1646357	0.1677378
Angelakisella	0.2108435	0.1184556
Adlercreutzia	0.1876717	0.1347534
Faecousia	0.2040979	0.1009045
Ruminococcus	0.1673376	0.1328077
MGBC164599	0.2166452	0.07935005
Prevotella	0.1100345	0.1680818
Alloprevotella	0.1911783	0.08400672
Anaerotignum	0.1819155	0.07974076
Lachnoclostridium_B	0.1026371	0.1484998
Ruminiclostridium_E	0.1006575	0.1332637
CAG-603	0.2135582	0.01940552
CAG-317	0.04637129	0.1806333
UBA7109	0.1211044	0.09608019
Pseudoflavonifractor_A	0.1374024	0.07299786
