ID	LPD	FN
Bacillota_A	60.96137	42.047
Bacteroidota	18.70441	20.54589
Verrucomicrobiota	12.44543	26.44494
Bacillota	3.657513	4.390184
Bacillota_B	1.886067	0.5723515
Campylobacterota	0.4913269	1.865383
Patescibacteria	0.5943755	1.612884
Actinomycetota	0.6893786	1.454521
Desulfobacterota	0.04991921	0.5394286
Pseudomonadota	0.2472238	0.2864347
Deferribacterota	0.09050142	0.0222447
Cyanobacteriota	0.04984839	0.04968408
Bacillota_C	0.03896233	0.04513009
Spirochaetota	0.02799845	0.03103549
Planctomycetota	0.0154021	0.02689836
Nitrospirota	0.005214097	0.01186534
Chloroflexota	0.007842715	0.005920942
Latescibacterota	0.0004368298	0.009878191
Bacillota_G	0.007243425	0.002619917
Fibrobacterota	0.003569491	0.006245187
Synergistota	0.005442891	0.003774271
KSB1	0.0002950644	0.004380568
Omnitrophota	0.0006193319	0.003787874
Fusobacteriota	0.001980636	0.001722645
Thermotogota	0.002264162	0.001100761
Acidobacteriota	0.00158435	0.001454759
Bacillota_D	0.001625469	0.00080015
Elusimicrobiota	0.0006968933	0.001531088
Bacillota_F	0.001508831	0.0005174508
Cloacimonadota	0.0008189506	0.001003865
Eremiobacterota	0.001008499	0.0005171406
Bacillota_E	0.001084569	0.0003528787
CSP1-3	0.0003020043	0.001077891
Chlamydiota	0.0002492474	0.000978877
UBP6	0.0008205173	0.0003871549
Bdellovibrionota	0.000755862	0.0003582457
UBA3054	0.0008612594	0.0001205294
Riflebacteria	0.0004404788	0.0004832416
Fermentibacterota	1.726102e-05	0.0007580643
Desulfobacterota_F	0.0002047862	0.000534836
Myxococcota	0.0003325518	0.0003894414
Bacillota_H	0.0003741597	0.0003456042
CAIJMQ01	1.670141e-05	0.0005887775
Desulfobacterota_B	0.0002401114	0.000273458
Margulisbacteria	0.0002004105	0.0002238506
Armatimonadota	0.0002147291	0.0001478528
UBA9089	4.240068e-06	0.0003297661
Deinococcota	0.0001800705	9.064574e-05
SAR324	2.788847e-05	0.0002084075
Dictyoglomota	0.0001944006	3.141431e-05
Poribacteria	0.000111447	7.515752e-05
Edwardsbacteria	0.0001637765	9.283193e-06
Atribacterota	9.819926e-05	6.350665e-05
Dependentiae	1.170283e-05	0.0001401144
Zixibacteria	5.664869e-05	8.94352e-05
Nitrospinota	5.341691e-05	8.801474e-05
JAHJDO01	0.0001219457	1.659862e-05
Marinisomatota	0.0001120239	2.391731e-05
Aerophobota	7.281756e-05	4.690834e-05
WOR-3	8.261451e-05	3.512542e-05
Goldbacteria	8.865841e-05	1.730233e-05
Delongbacteria	2.668329e-05	7.33753e-05
Aquificota	6.836356e-05	3.107261e-05
Sumerlaeota	6.46563e-05	2.89669e-05
UBP15	1.353064e-05	6.622351e-05
JdFR-76	1.701187e-05	5.976882e-05
AABM5-125-24	2.113222e-05	5.406105e-05
DTU030	4.393587e-05	2.659559e-05
Desulfobacterota_G	4.713264e-05	2.308867e-05
Moduliflexota	3.643081e-05	2.783674e-05
Hydrogenedentota	5.41246e-05	9.198799e-06
Calditrichota	0	3.647564e-05
DUMJ01	3.380512e-05	1.464864e-06
JANLFM01	1.120051e-05	2.359229e-05
JAAXHH01	8.758709e-06	2.595655e-05
Gemmatimonadota	1.852858e-05	1.614146e-05
CG2-30-53-67	6.555278e-06	2.659534e-05
Wallbacteria	2.862247e-05	1.777812e-06
SZUA-182	2.039816e-05	9.059081e-06
Caldisericota	2.245182e-05	7.865436e-07
Calescibacterota	2.060499e-05	0
JAAXVQ01	8.153177e-06	1.076678e-05
Eisenbacteria	0	1.798943e-05
Methylomirabilota	1.240813e-05	0
Myxococcota_A	7.044578e-06	4.188604e-06
Desulfobacterota_E	1.029883e-05	0
Auribacterota	9.013403e-06	6.554487e-07
SM23-31	5.742734e-06	3.242721e-06
QNDG01	0	6.978352e-06
B130-G9	4.67935e-06	1.350614e-06
JABMQX01	5.684112e-06	0
Tectomicrobia	4.003807e-06	1.591804e-06
UBP4	6.346625e-07	0
