	ND	ND	ND	ND	ND	ND	LPD	LPD	LPD	LPD	LPD	LPD	FN	FN	FN	FN	FN	FN	LPD+LPD	LPD+LPD	LPD+LPD	LPD+LPD	LPD+LPD	LPD+LPD
0	10.68	10.57	10.79	10.86	10.94	10.67	10.71	10.66	10.82	10.58	10.47	10.36	10.52	10.76	10.83	10.97	10.62	10.64	10.49	10.55	10.87	10.91	10.65	10.7
3	12.75616	13.69895	13.39063	13.09787	13.36373512	13.56484	12.6142	12.86695	12.945	12.97814	12.62073	12.25532	12.29843	13.84206	11.5884	13.88978	12.89983	13.32026	12.95886	12.42421	13.09231	13.15062	13.50967	12.33478
6	14.29742	15.04744	16.73458	15.89358	14.27333048	15.50156	14.89217	13.00375	14.62261	13.8492	14.20644	12.92527	14.26184	13.91127	12.99968	15.41202	14.00722	14.19995	12.62718	13.33527	14.71787	15.12397	12.53403	13.93798
9	15.31283	16.3844	18.08104	16.91689	16.00468394	16.21716	15.23765	14.35209	15.94526	14.89103	15.20142	13.59737	15.47637	15.37274	14.25919	16.12907	15.96488	14.85632	13.72248	14.06069	15.60371	16.03159	14.28998	13.89327
12	16.86315	17.49703	19.19851	18.05083	16.91730968	17.97057	15.21948	15.29321	16.19326	15.79815	14.5814	15.14754	16.25332	16.35922	15.18774	17.0603	16.13643	16.6404	14.25749	14.48233	16.15718	16.37	14.13802	15.13945
15	16.94475	17.94567	19.27178	18.57631	17.6661855	17.76536	15.39222	16.25243	16.6617	16.57953	15.37975	15.52202	16.83379	17.19042	16.12548	18.75516	17.33943	16.71765	15.0698	16.78328	16.88633	17.22631	15.6857	16.56671
18	18.13243	18.42123	20.84723	19.71947	18.91434104	18.88061	16.56504	16.81349	17.50673	17.61238	16.48206	16.70793	17.55714	17.88462	17.00806	18.50372	17.44209	18.10356	15.79715	17.7326	17.40308	18.17099	16.38472	18.42202
21	18.02363	18.89679	21.25026	19.99604	18.19849308	19.3422	16.33775	17.2207	17.97516	18.16024	15.72999	17.0859	17.78934	18.00336	17.87226	19.32322	18.32848	17.53888	16.15228	17.91172	17.67067	18.68963	16.00368	17.8071
24	19.05718	19.59667	22.0563	20.86264	19.92838058	20.05152	16.92871	18.09847	18.66405	18.71708	16.88651	17.3313	18.1287	18.59708	18.07451	19.55603	18.0818	18.76983	16.2937	18.5028	18.04899	19.32867	16.96336	19.09538
27	20.31739	20.04532	22.98142	22.17173	20.50584848	20.57831	17.18327	18.3609	18.53545	18.28597	16.53697	18.14902	19.16462	19.31868	19.26048	19.93783	19.72078	19.3822	16.43012	18.7396	18.48878	19.67134	16.34379	18.58487
30	21.12428	20.78109	23.63175	22.76175	22.11363464	20.85224	17.52876	18.42424	18.91204	17.96265	17.43152	17.62502	19.47718	19.4639	19.61903	20.55245	20.47967	19.60057	17.08214	19.28483	18.77889	19.87398	17.67241	18.87204
33	21.3872	21.02335	23.65922	22.54049	21.70794662	21.57222	18.11063	19.61874	19.8581	19.41762	17.92944	19.3205	20.3345	19.78452	20.73145	21.2695	20.90562	19.92301	17.66506	19.44801	19.11938	20.17146	18.13181	19.39523
