	FN					FL					CO					2*LPD				
1	9.21 	9.06 	9.50 	9.71 	10.16 	9.54 	8.32 	9.12 	9.57 	9.85 	10.04 	10.16 	9.13 	9.97 	10.05 	9.77 	10.00 	9.28 	9.73 	9.57 
3	12.19 	12.00 	12.14 	12.45 	13.32 	12.04 	11.24 	11.62 	11.48 	12.07 	11.69 	12.38 	11.67 	12.39 	12.33 	12.97 	12.59 	11.65 	12.53 	12.52 
5	13.59 	11.87 	12.90 	13.89 	14.59 	13.80 	11.57 	12.10 	12.45 	14.36 	12.81 	13.22 	13.31 	13.16 	14.43 	14.21 	14.64 	12.64 	13.57 	13.73 
7	14.44 	12.38 	13.48 	14.60 	15.61 	15.14 	13.47 	13.09 	13.70 	15.29 	13.40 	14.39 	14.38 	14.77 	15.59 	15.39 	14.89 	13.03 	15.45 	14.01 
9	15.88 	13.15 	15.36 	16.23 	16.46 	15.53 	15.84 	13.80 	14.57 	16.62 	13.91 	15.55 	15.57 	16.17 	16.31 	16.29 	15.91 	14.12 	16.32 	16.04 
11	15.35 	14.48 	15.96 	17.52 	16.69 	16.23 	15.03 	15.00 	15.91 	17.04 	14.55 	16.31 	16.49 	17.01 	16.95 	16.95 	16.35 	14.82 	16.92 	16.69 
13	16.58 	14.98 	16.08 	17.86 	17.15 	17.42 	15.58 	15.39 	16.09 	16.92 	14.68 	17.06 	16.71 	17.15 	17.80 	16.79 	17.21 	15.12 	16.90 	16.82 
15	16.70 	15.20 	16.25 	17.98 	17.51 	17.54 	15.55 	15.35 	16.37 	16.77 	14.97 	17.15 	16.59 	17.21 	17.72 	16.82 	17.25 	15.09 	17.86 	16.96 
17	16.77 	15.44 	16.53 	18.32 	17.75 	17.51 	15.44 	15.36 	16.52 	16.96 	15.51 	17.22 	16.63 	17.36 	17.92 	17.04 	17.41 	15.12 	17.98 	17.32 
19	16.95 	16.62 	18.00 	18.63 	17.97 	17.93 	16.12 	15.51 	16.74 	16.96 	15.78 	17.25 	16.73 	17.77 	18.01 	17.19 	17.23 	15.63 	17.94 	17.25 
21	17.02 	16.92 	18.27 	19.07 	18.55 	18.09 	16.17 	15.58 	16.94 	17.11 	15.92 	17.43 	16.79 	17.85 	18.09 	17.91 	17.74 	16.20 	18.51 	17.72 
23	17.35 	17.28 	18.38 	19.35 	18.76 	18.33 	16.38 	15.77 	16.87 	17.52 	15.94 	17.53 	16.94 	17.89 	18.33 	17.99 	17.75 	17.17 	18.66 	17.89 
25	18.50 	17.48 	18.83 	19.42 	19.10 	18.40 	16.32 	16.09 	16.97 	17.40 	16.15 	17.70 	17.04 	18.18 	18.63 	17.97 	17.95 	17.32 	18.63 	18.12 
27	18.71 	17.88 	19.10 	19.68 	19.44 	18.28 	16.31 	16.39 	17.20 	17.97 	17.08 	18.15 	18.03 	18.69 	18.54 	18.17 	19.16 	17.61 	18.77 	18.27 
29	19.56 	19.34 	19.26 	19.25 	21.24 	18.65 	17.69 	16.84 	17.44 	18.42 	17.99 	18.19 	17.81 	19.13 	18.44 	18.85 	18.65 	17.69 	18.94 	18.62 

