ContigID	Length	Type	Taxonomy	Host	Lifestyle
LPd_1__1009	4560	non-phage	NA	NA	NA
LPd_1__1011	17082	non-phage	NA	NA	NA
LPd_1__1012	2819	phage	unknown	unknown	temperate
LPd_1__1017	3138	phage	unknown	Faecalibaculum rodentium	temperate
LPd_1__1048	9122	non-phage	NA	NA	NA
LPd_1__1052	3317	phage	unknown	Dinoroseobacter shibae	temperate
LPd_1__1062	31468	phage	unknown	Microcystis aeruginosa	virulent
LPd_1__1081	3661	non-phage	NA	NA	NA
LPd_1__1091	23940	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Schitoviridae	Lactococcus lactis	virulent
LPd_1__1104	3840	phage	unknown	Helicobacter japonicus	virulent
LPd_1__1145	66162	non-phage	NA	NA	NA
LPd_1__1147	2621	phage	unknown	unknown	temperate
LPd_1__1149	4986	non-phage	NA	NA	NA
LPd_1__1150	4058	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__1151	9057	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__1155	17618	non-phage	NA	NA	NA
LPd_1__1157	3268	non-phage	NA	NA	NA
LPd_1__1159	5104	non-phage	NA	NA	NA
LPd_1__1166	4625	non-phage	NA	NA	NA
LPd_1__1174	3767	non-phage	NA	NA	NA
LPd_1__1179	2569	phage	unknown	unknown	virulent
LPd_1__118	5899	non-phage	NA	NA	NA
LPd_1__1186	2526	phage	unknown	unknown	virulent
LPd_1__1195	2140	non-phage	NA	NA	NA
LPd_1__1198	19609	phage	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Peduoviridae	Colwellia psychrerythraea	temperate
LPd_1__120	2467	phage	unknown	unknown	temperate
LPd_1__1208	22487	phage	no_family_avaliable(NC_062779)	unknown	virulent
LPd_1__121	4762	phage	unknown	Colwellia psychrerythraea	temperate
LPd_1__1219	3391	non-phage	NA	NA	NA
LPd_1__1237	6686	non-phage	NA	NA	NA
LPd_1__1249	3248	non-phage	NA	NA	NA
LPd_1__1257	8212	phage	unknown	Colwellia psychrerythraea	virulent
LPd_1__1263	10187	non-phage	NA	NA	NA
LPd_1__1264	2167	non-phage	NA	NA	NA
LPd_1__1270	2769	non-phage	NA	NA	NA
