GeneID	FN1	FN2	FN3	FN4	LPD1	LPD2	LPD3	LPD4	COG/KOG	Function	Category	Description	
C1__116989_85	0.24847	0.169471	0.026048	0.534577	3.398585	2.935125	3.124693	2.529724	COG3663	L	INFORMATION STORAGE AND PROCESSING	UreE urease accessory protein, C-terminal domain	1.2715E-05
C1__182432_67	1.984764	3.689794	7.114981	5.214888	43.058616	26.357833	31.622103	40.235695	COG4413	E	METABOLISM	Urea transporter	0.000251955
C1__230215_3	0.030051	0	0	0	0.05769	0.085539	0.04319	0.114733	COG4857	H	METABOLISM	Aminoglycoside/hydroxyurea antibiotic resistance kinase	0.008254821
C1__41454_34	12.305432	21.257711	19.329447	15.552124	4.743969	8.842837	7.054942	5.904776	COG0831	E	METABOLISM	Belongs to the urease gamma subunit family	0.002956654
C1__41454_35	20.764246	31.704052	28.059375	21.159111	11.702003	15.433704	9.894293	11.122837	COG0832	E	METABOLISM	Belongs to the urease beta subunit family	0.003850429
C1__41454_36	30.010708	46.09169	36.822139	28.790019	16.65568	19.878296	13.414914	15.88362	COG0804	E	METABOLISM	Belongs to the metallo-dependent hydrolases superfamily. Urease alpha subunit family	0.003972818
C1__41454_37	23.166276	39.652153	31.443905	24.165609	12.599074	18.569627	10.488325	11.96754	COG2371	O	CELLULAR PROCESSES AND SIGNALING	UreE urease accessory protein, C-terminal domain	0.008529463
C1__41454_38	28.090894	40.300217	35.79336	26.176818	13.523299	18.385723	12.149264	16.606023	COG0830	O	CELLULAR PROCESSES AND SIGNALING	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter	0.002871443
C1__41454_39	26.174983	37.101998	29.740024	24.888936	13.474522	17.814804	11.16204	10.049298	COG0378	H	METABOLISM	Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG	0.002323741
C1__41454_40	28.24656	41.27603	35.635168	27.48294	14.376373	17.998521	12.468921	10.932729	COG0829	O	CELLULAR PROCESSES AND SIGNALING	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter	0.001785741
C1__41454_47	25.436474	37.923504	29.823694	24.921933	13.34247	14.869183	11.418179	10.420335	COG4413	E	METABOLISM	Urea transporter	0.001707716
FL3__157281_1	0.106118	0.072378	0.155748	0	0.203716	0.332264	0.203353	0.270101	COG1573	L	INFORMATION STORAGE AND PROCESSING	UreE urease accessory protein, C-terminal domain	0.009493296
FL3__219277_1	0	0	0.051781	0	0.177789	0.140595	0.147893	0.15715	COG1573	L	INFORMATION STORAGE AND PROCESSING	UreE urease accessory protein, C-terminal domain	8.37107E-05
